"","Problema","CUN","SPT","LPT"
"1",1,0.56866192817688,0.5099798,0.3607578
"2",2,0.621581792831421,0.1858872,0.1410195
"3",3,0.525389432907104,0.2785206,0.190726399999999
"4",4,0.649444818496704,0.0761435999999999,0.1710554
"5",5,2.01000189781189,0.141112699999999,0.0774279
"6",6,0.558285236358643,0.0950124999999997,0.0631956
"7",7,0.411037445068359,0.104773699999999,0.0621776
"8",8,0.571050643920898,0.148571599999999,0.0634740000000002
"9",9,0.543313980102539,0.0979392000000003,0.0651462
"10",10,0.53874683380127,0.217095699999999,0.0652737000000001
"11",11,0.897921800613403,0.2017321,0.0773896
"12",12,0.673720359802246,0.761829599999999,0.0766975000000003
"13",13,0.97006893157959,0.1879717,0.0826955000000002
"14",14,0.846219778060913,0.1682512,0.0816495000000001
"15",15,0.949829578399658,0.284366099999999,0.0800187999999999
"16",16,0.924501419067383,0.1006248,0.0775506999999997
"17",17,0.791757106781006,0.0965346999999994,0.0773725
"18",18,0.88767671585083,0.120238999999999,0.0768936999999998
"19",19,0.739197492599487,0.1139519,0.0794389999999998
"20",20,0.611316442489624,0.0930331999999998,0.0771491000000001
"21",21,1.38519477844238,0.1021878,0.0879102
"22",22,1.09855008125305,0.0927645000000003,0.0882762000000001
"23",23,1.28605008125305,0.1094728,0.0857543999999999
"24",24,1.40304732322693,0.1060911,0.0894853999999996
"25",25,1.16410875320435,0.121986699999999,0.0883372999999996
"26",26,1.18420362472534,0.0912220000000001,0.0827686
"27",27,1.46699452400207,0.1195811,0.0917365999999999
"28",28,0.830780267715454,0.128902699999999,0.0882528000000002
"29",29,1.38331580162048,0.125159,0.0852198999999997
"30",30,1.2303295135498,0.0932928000000004,0.0856227
"31",31,1.96215748786926,0.137404399999999,0.117008599999999
"32",32,2.13255643844604,0.1185996,0.116581499999999
"33",33,2.42117381095886,0.1443333,0.118048199999999
"34",34,2.07360005378723,0.1595902,0.116472199999999
"35",35,1.61430406570435,0.143300499999999,0.135645499999999
"36",36,1.78703117370605,0.1241681,0.1202094
"37",37,1.88651657104492,0.158651199999999,0.116223299999999
"38",38,2.9148850440979,0.129096099999999,0.114638199999999
"39",39,2.21449995040894,0.1408886,0.117130499999999
"40",40,1.91104388237,0.3110029,0.1140721
"41",41,2.76653504371643,0.172522899999999,0.133062699999999
"42",42,3.4997251033783,0.1592386,0.1293891
"43",43,2.20280313491821,0.175904199999999,0.1303041
"44",44,5.26277804374695,0.1403899,0.133906699999999
"45",45,2.44450068473816,0.142959299999999,0.129102199999999
"46",46,3.77771019935608,0.1971305,0.1287959
"47",47,4.49180769920349,0.1668427,0.1529663
"48",48,2.05740308761597,0.1441814,0.150603
"49",49,2.0291473865509,0.182334199999999,0.160162
"50",50,2.75121355056763,0.1914543,0.1544207
